from_station_id,from_station_name
2,Buckingham Fountain
3,Shedd Aquarium
4,Burnham Harbor
5,State St & Harrison St
6,Dusable Harbor
7,Field Blvd & South Water St
9,Leavitt St & Archer Ave
11,Jeffery Blvd & 71st St
12,South Shore Dr & 71st St
13,Wilton Ave & Diversey Pkwy
14,Morgan St & 18th St
15,Racine Ave & 19th St
16,Paulina Ave (Wood St) & North Ave
17,Honore St & Division St
18,Wacker Dr & Washington St
19,Loomis St & Taylor St
20,Sheffield Ave & Kingsbury St
21,Aberdeen St & Jackson Blvd
22,May St & Taylor St
23,Orleans St & Elm St
24,Fairbanks Ct & Grand Ave
25,Michigan Ave & Pearson St
26,McClurg Ct & Illinois St
27,Larrabee St & North Ave
28,Larrabee St & Menomonee St
29,Noble St & Milwaukee Ave
30,Ashland Ave & Augusta Blvd
31,Franklin St & Chicago Ave
32,Racine Ave & Congress Pkwy
33,State St & Van Buren St
34,Cannon Dr & Fullerton Ave
35,Streeter Dr & Illinois St
36,Franklin St & Jackson Blvd
37,Dearborn St & Adams St
38,Clark St & Lake St
39,Wabash Ave & Adams St
40,LaSalle St & Adams St
41,Federal St & Polk St
42,Wabash Ave & Cermak Rd
43,Michigan Ave & Washington St
44,State St & Randolph St
45,Michigan Ave & Congress Pkwy
46,Wells St & Walton St
47,State St & Kinzie St
48,Larrabee St & Kingsbury St
49,Dearborn St & Monroe St
50,Clark St & Congress Pkwy
51,Clark St & Randolph St
52,Michigan Ave & Lake St
53,LaSalle (Wells) St & Huron St
54,Ogden Ave & Chicago Ave
55,Halsted St & James M Rochford St
56,Desplaines St & Kinzie St
57,Clinton St & Roosevelt Rd
58,Marshfield Ave & Cortland St
59,Wabash Ave & Roosevelt Rd
60,Dayton St & North Ave
61,Wood St & Milwaukee Ave
62,McCormick Place
66,Clinton St & Lake St
67,Sheffield Ave & Fullerton Ave
68,Clinton St & Tilden St
69,Damen Ave & Pierce Ave
71,Morgan St & Lake St
72,Wabash Ave (State St) & 16th St
73,Jefferson St & Monroe St
74,Kingsbury St & Erie St
75,Clinton St & Jackson Blvd
76,Lake Shore Dr & Monroe St
77,Clinton St & Madison St
80,Aberdeen St & Monroe St (Madison St)
81,Daley Center Plaza
84,Milwaukee Ave & Grand Ave
85,Michigan Ave & Oak St
86,Eckhart Park
87,Racine Ave & Fullerton Ave
88,May St & Randolph St
89,Financial Pl & Congress Pkwy
90,Millennium Park
91,Clinton St & Washington Blvd
92,Carpenter St & Huron St
93,Sheffield Ave & Willow St
94,Clark St & Armitage Ave
96,Desplaines St & Randolph St
97,Field Museum
98,LaSalle St & Washington St
99,Lake Shore Dr & Ohio St
100,Orleans St & Merchandise Mart Plaza
101,63rd St Beach
102,Stony Island Ave & 67th St
103,Clinton St & Polk St
106,State St & Pearson St
107,Desplaines St & Jackson Blvd
108,Halsted St & Polk St
109,900 W Harrison St
110,Dearborn St & Erie St
111,Sedgwick St & Huron St
112,Green St & Randolph St
113,Bissell St & Armitage Ave
114,Sheffield Ave & Waveland Ave
115,Sheffield Ave & Wellington Ave
116,Western Ave & Winnebago Ave
117,Wilton Ave & Belmont Ave
118,Sedgwick St & North Ave
119,Ashland Ave & Lake St
120,Wentworth Ave & Archer Ave
121,Blackstone Ave & Hyde Park Blvd
122,Ogden Ave & Congress Pkwy
123,California Ave & Milwaukee Ave
124,Damen Ave & Cullerton St
125,Rush St & Hubbard St
126,Clark St & North Ave
127,Lincoln Ave & Fullerton Ave
128,Damen Ave & Chicago Ave
129,Blue Island Ave & 18th St
130,Damen Ave & Division St
131,Lincoln Ave & Belmont Ave
132,Wentworth Ave & 24th St
133,Kingsbury St & Kinzie St
134,Peoria St & Jackson Blvd
135,Halsted St & 21st St
136,Racine Ave & 13th St
137,Morgan Ave & 14th Pl
138,Clybourn Ave & Division St
140,Dearborn Pkwy & Delaware Pl
141,Clark St & Lincoln Ave
142,McClurg Ct & Erie St
143,Sedgwick St & Webster Ave
144,Larrabee St & Webster Ave
145,Mies van der Rohe Way & Chestnut St
146,Loomis St & Jackson Blvd
147,Indiana Ave & 26th St
148,State St & 33rd St
149,Calumet Ave & 33rd St
150,Fort Dearborn Dr & 31st St
152,Lincoln Ave & Diversey Pkwy
153,Southport Ave & Wellington Ave
154,Southport Ave & Belmont Ave
156,Clark St & Wellington Ave
157,Lake Shore Dr & Wellington Ave
158,Milwaukee Ave & Wabansia Ave
159,Claremont Ave & Hirsch St
160,Campbell Ave & North Ave
161,Rush St & Superior St
162,Damen Ave & Wellington Ave
163,Damen Ave & Clybourn Ave
164,Franklin St & Lake St
165,Clark St & Grace St
166,Ashland Ave & Wrightwood Ave
167,Damen Ave & Coulter St
168,Michigan Ave & 14th St
169,Canal St & Harrison St
170,Clinton St & 18th St
171,May St & Cullerton St
172,Rush St & Cedar St
173,Mies van der Rohe Way & Chicago Ave
174,Canal St & Madison St
175,Wells St & Polk St
176,Clark St & Elm St
177,Theater on the Lake
178,State St & 19th St
179,MLK Jr Dr & Oakwood Blvd
180,Ritchie Ct & Banks St
181,LaSalle St & Illinois St
182,Wells St & Elm St
183,Damen Ave & Augusta Blvd
184,State St & 35th St
185,Stave St & Armitage Ave
186,Ogden Ave & Race Ave
188,Greenview Ave & Fullerton Ave
190,Southport Ave & Wrightwood Ave
191,Canal St & Monroe St
192,Canal St & Adams St
193,State St & 29th St
194,State St & Wacker Dr
195,Columbus Dr & Randolph St
196,Cityfront Plaza & N Water St
197,Michigan Ave & Madison St
198,Green St (Halsted St) & Madison St
199,Wabash Ave & Grand Ave
200,MLK Jr Dr & 47th St
201,Indiana Ave & 40th St
202,Halsted St & 18th St
203,Western Ave & 21st St
204,Prairie Ave & Garfield Blvd
205,Paulina St & 18th St
206,Halsted St & Archer Ave
207,Emerald Ave & 28th St
208,Ashland Ave & 21st St
209,Normal Ave & Archer Ave
210,Ashland Ave & Division St
211,St. Clair St & Erie St
212,Orleans St & Ohio St
213,Leavitt St & North Ave
