trip_id,biker_id,from_station_id,to_station_id,tripduration,temperature
11603711,18202,94,229,12.26666667,78.1
8897024,20842,213,123,9.283333333,61
7585903,20354,292,229,6.183333333,69.1
12719363,14416,211,145,3.633333333,42.1
4255671,12838,110,100,8.316666667,26.1
11207367,13799,240,114,4.916666667,82.9
13001862,17030,313,301,9.25,6.1
4578024,20767,174,53,8.95,12
6926465,21748,6,80,23.5,78.1
16769277,21422,286,52,10.56666667,69.1
15833687,11047,81,59,14.06666667,73
4751627,18178,160,141,19.3,50
13489220,16009,41,98,13.06666667,48.9
11844200,13300,5,264,11.16666667,73
1312746,14352,21,75,6.316666667,46
4266265,22320,256,296,7.066666667,52
3997961,12980,309,158,3.633333333,52
6713201,14143,133,188,29.21666667,78.1
17273280,23142,18,68,5.083333333,45
13732751,16627,52,59,13.56666667,57.9
14094393,12699,253,326,4.116666667,61
1204374,19635,337,54,8.183333333,7
5446748,22358,54,111,8.466666667,63
12749636,22099,134,198,3.033333333,48.9
7569645,20304,110,113,11.26666667,64.9
15440894,13870,133,39,12.76666667,73.9
3875223,10791,176,212,8.066666667,64.9
9830351,24409,144,153,11.1,81
14762367,11542,18,264,8.4,66.9
10526322,11159,74,359,5.3,84.9
8838160,11122,232,251,8.883333333,30.9
16344304,15512,242,464,9.25,64.9
8548165,10586,90,37,6.933333333,30
14610630,18777,73,36,4.516666667,77
14756787,23002,77,172,34.21666667,64
14337319,20956,451,177,28.75,91
4493882,15993,110,191,10.43333333,34
2625434,12450,280,241,19.91666667,75.9
4676132,11889,77,134,5.55,39.9
12040660,19114,43,72,15.9,71.1
2469510,18260,126,220,13.3,80.1
7542309,22007,94,188,20.81666667,68
9288680,12138,174,291,15.16666667,50
15389214,16470,81,24,7.266666667,82.9
14360293,22981,35,157,22.5,68
9512507,19815,75,110,15.03333333,63
11251427,16767,180,268,2.983333333,87.1
9717140,18471,181,133,3.516666667,80.1
9861013,23440,195,174,11.75,78.1
1657553,22391,240,245,6.15,82
9949318,11432,236,164,9.6,57
4056763,23891,29,48,6.383333333,57.9
15672656,24276,260,500,4.733333333,82
11668735,10877,451,451,26.11666667,70
5946622,18253,58,74,14.25,59
12803201,16573,18,81,5.083333333,34
7586621,15612,451,353,11.81666667,66
17513104,23785,335,148,5.716666667,35.1
8179922,19544,125,49,6.566666667,55
3876423,18684,134,50,10.55,64
14120186,16034,100,329,22.95,70
12488209,11689,106,100,9.483333333,45
12526169,21188,268,141,8.816666667,62.1
10570786,16482,133,111,5.183333333,77
6820228,11118,13,166,8.383333333,75
7005071,14918,321,49,5.433333333,59
8736617,11136,496,158,22.56666667,19
13435672,15365,520,523,3.316666667,50
4376023,19804,191,283,3.866666667,28
14172199,19207,173,183,16.76666667,55.9
16435942,22218,110,133,10.66666667,86
5728862,11927,66,164,3.1,59
9341539,16366,338,99,22.16666667,43
7894523,19142,199,66,6.65,70
8900624,13146,156,324,8.233333333,55.9
17256837,19155,254,240,2.666666667,34
8755292,12274,40,51,3.833333333,28
16128826,24917,223,268,37.15,75
10524893,20417,81,50,4.716666667,84.9
4324017,13752,100,283,6.666666667,33.1
17194594,20293,394,40,11.51666667,37
1470394,17431,192,261,11.95,66.9
16237804,17208,76,291,22.76666667,71.1
10289363,20216,48,74,3.283333333,79
9303639,12033,138,69,16.98333333,54
14460971,11908,249,296,16.2,90
10825009,24527,227,319,9.483333333,77
12796432,15995,133,71,5.35,41
13717974,18469,43,192,9.016666667,52
3510260,20871,45,273,15.91666667,75.2
11436114,20827,45,72,8.3,70
13783849,21963,86,181,13.53333333,61
1159664,23293,211,181,6.95,19.9
5529481,20013,376,375,23.8,69.1
16875885,16184,241,320,5.083333333,79
12599086,13881,227,246,5,64
4033974,11183,91,176,15.93333333,37.9
6433906,19704,94,131,13.28333333,71.1
13700571,24826,240,231,3.483333333,71.1
14059394,19778,313,165,22.26666667,81
17196816,14943,364,85,5.85,42.1
17222455,13507,55,109,2.916666667,39
9662635,20856,87,303,20.21666667,75.9
8513324,13869,225,331,6.816666667,48.9
13858709,21751,54,27,11.26666667,48
14429735,21673,81,195,10.86666667,71.1
16461307,22345,154,250,3.483333333,86
4949294,14185,231,240,3.666666667,48
6455741,14989,337,60,13.88333333,78.1
7681040,15522,459,177,31.9,66.9
8473958,21755,181,110,2.7,48.2
1489580,19759,176,52,12.33333333,50
6459938,20822,349,141,10.68333333,79
11127306,23353,66,86,11.06666667,89.1
2109556,22508,318,240,3.833333333,70
17407457,21294,69,56,13.23333333,46.9
6648517,18021,419,247,4.133333333,89.1
13907303,10498,234,303,10.9,57
9686452,16663,77,61,19.55,77
10898714,11835,175,175,3.65,81
6365572,24389,219,94,15.91666667,79
16772397,16562,321,50,4.85,71.1
12519777,17460,130,133,15.65,55
5609144,19917,26,43,7.066666667,57
4596391,20665,197,52,4,46.9
4297785,20132,195,192,10.16666667,30.9
5713919,12751,243,479,16.56666667,63
3078116,16609,287,198,6.116666667,71.6
8208901,13183,111,18,12.51666667,51.1
12547940,15384,333,60,7,54
14174339,23526,317,73,13.98333333,64.9
8921496,15095,346,88,2.283333333,48
9456879,17540,76,284,5.933333333,60.1
9630504,19400,136,275,5.733333333,61
11420245,16512,302,177,10.8,79
2618195,10070,321,110,15.31666667,55.9
3567240,16791,332,156,2.466666667,57
10927956,10730,177,329,10.08333333,81
4365603,19898,280,137,14.8,25
8490711,10899,106,77,14.23333333,43
5618248,12029,478,462,13.73333333,82
12452471,13993,81,232,36.9,57.9
16818578,22581,109,320,6.733333333,66.9
12873257,22136,183,195,25.01666667,32
8540849,17681,144,327,5.483333333,30
11842540,20171,53,141,10.68333333,77
7606898,22023,177,2,26.63333333,68
9843235,17423,48,220,17.26666667,79
14807635,21678,148,148,17.35,73.9
10158264,20932,38,141,18.13333333,82
9272405,20083,199,74,6.85,59
7921716,13801,85,43,7.75,61
13903556,23657,93,219,8.5,53.1
12206473,22227,108,56,8.466666667,73
12774585,17652,97,341,5.583333333,66
14966061,12100,81,88,11.1,77
16020034,13647,56,133,2.25,66.9
17366533,10747,383,77,13.45,46.9
16535964,21310,338,265,17.75,90
8972833,23983,85,465,26.8,39.9
8544177,20145,490,114,15.06666667,27
6421388,10642,296,299,3.983333333,84
8279681,13972,94,229,14.28333333,37.9
10862250,19470,275,280,21.4,89.1
17351162,12907,304,229,7.95,52
12698370,21051,194,61,33.11666667,59
5802348,24572,291,364,7.35,80.1
6420297,11545,71,211,16.45,84
13916731,20312,37,287,2.433333333,46.9
10987969,20339,144,13,7.866666667,71.1
3029328,23255,56,334,33.21666667,75.9
1610192,10937,258,116,8.2,84
7335788,11469,85,300,22.5,82.9
8767382,12595,45,287,6.383333333,51.1
10499491,15663,54,183,9.266666667,77
7110511,24968,316,478,6.9,68
6587148,20411,177,232,11.91666667,75.9
12616667,21759,87,141,18.75,61
8454739,23187,81,50,4.95,43
4031065,19912,111,72,31.76666667,46
2775180,11292,227,156,9.116666667,73
12611296,22562,134,71,5.066666667,55.9
8884558,14633,22,241,3.1,69.1
6465724,19328,372,17,10.91666667,88
17253012,22961,195,174,8.016666667,37.9
2347509,19171,176,301,14.81666667,79
2528972,10236,120,37,10.73333333,75
5054456,22085,60,113,5.933333333,64
2743945,24035,176,174,13.48333333,64.9
8952866,12529,259,123,2.5,55
15747223,18784,464,458,17.86666667,69.1
12745464,10484,174,161,12.11666667,52
1515876,19889,232,334,5.383333333,46.9
6069838,12300,195,287,14.68333333,73.9
8955809,13750,251,232,9.783333333,48
13363870,18220,49,30,20.3,61
8088173,23613,210,310,10.76666667,57
13415605,22699,77,134,5.05,24.1
4422162,24349,181,91,8.383333333,5
7833118,23167,107,66,5.2,55.9
6359910,20950,191,100,5.05,82
16538223,19810,81,176,11.75,87.1
15727610,11128,198,52,11.78333333,68
2723925,18463,54,29,3.466666667,89.1
13449480,24891,48,176,6.4,45
13885807,20983,89,106,9.25,43
7177641,16594,202,170,2.333333333,66.9
5165467,17863,36,49,3.866666667,66.9
17125139,16696,56,56,2.35,39.9
9737486,14268,174,41,10.68333333,82
3286033,16885,109,44,21.8,88
7768209,10727,37,338,15.33333333,57.9
8330389,11611,301,140,6.9,37.9
10449181,15944,232,240,5.4,72
17149156,15836,296,340,5.366666667,39
7282630,17226,97,47,37.93333333,78.1
11002408,12421,220,177,5.933333333,73.9
7828737,18556,328,345,5.65,62.1
15809420,24290,43,321,8.55,79
12055714,17749,29,93,13.75,73
10104855,20886,224,192,17.63333333,69.1
13940059,10583,196,283,11.23333333,57
17163971,20601,54,48,6.25,48
5945525,12723,137,36,13.38333333,57
5386474,15939,61,81,18.03333333,72
1970488,11523,76,177,25.25,75
3549749,20331,174,21,7.633333333,51.1
17226802,20084,247,345,4.133333333,41
12688280,22520,374,210,7.766666667,46
6017701,17211,292,117,9.733333333,79
6306033,12032,115,153,4.466666667,78.1
5531037,12620,285,36,19.81666667,70
14025535,12563,94,240,23.68333333,75
12892689,21226,191,212,8.95,24.1
14083234,19660,264,98,5.233333333,44.1
10857743,22196,81,90,13.36666667,90
4494022,20461,283,91,7.333333333,34
7516213,16126,487,256,16.01666667,69.1
5053596,21030,99,177,17.33333333,66.9
5386338,16014,191,283,4.833333333,72
8424671,23012,305,510,7.966666667,37.9
12197632,19125,505,158,8.366666667,66.9
16951732,18635,280,367,15.46666667,52
12312335,18085,56,108,9.816666667,68
10395876,13451,73,90,8.9,75
12847254,19977,110,99,6.666666667,37
5936001,18520,284,255,5.566666667,68
17529939,16061,92,80,9.583333333,6.1
17349047,15092,110,143,14,50
10574948,18273,260,183,18.55,84.9
16799148,21993,84,181,5.5,68
2196775,19531,26,177,20.51666667,64.9
3065965,10645,329,126,9.75,70
5266162,14900,289,144,6.166666667,57
14679161,21325,91,283,5.583333333,78.1
1708839,16246,117,69,27.21666667,68
1866861,15475,75,268,24.56666667,72
17389386,24507,304,254,4.916666667,51.1
12302136,11904,111,268,20.56666667,68
12933364,11025,260,290,5.516666667,19
1150828,12580,287,54,16.25,19.9
2819003,10979,199,195,7.2,63
13215218,23482,261,32,6.466666667,32
10731875,14124,226,242,17.58333333,64
6107481,10264,49,45,5.283333333,64
7028333,23053,44,18,7,75.9
16098360,22414,91,17,14.73333333,68
4305824,18193,127,302,3.016666667,25
9252339,19714,44,161,5.883333333,55.9
1122405,14714,287,112,5.916666667,30.9
2357920,20424,98,264,13.05,71.1
2809462,18521,224,118,4.166666667,82.4
3975075,14285,140,212,7.083333333,51.1
15494109,17849,175,5,4.183333333,82
10281403,23430,304,296,11.11666667,66
17365378,14109,509,260,10.03333333,43
4581352,22342,73,181,10.7,43
9910565,20825,273,181,21.33333333,70
6767394,23567,294,463,2.816666667,78.1
12701585,12979,230,251,20.18333333,54
4864668,23250,212,174,7.416666667,63
13244367,12302,29,217,9.433333333,59
15495718,21565,54,217,27.68333333,82
15950444,11604,195,48,15.4,81
3494575,11048,313,56,40.55,78.8
14830354,21649,184,278,4.25,75.9
16880404,23279,13,220,4.15,75
11661373,23585,451,525,8.35,72
